,Unnamed: 0,player_id,Minutes played,Goals,Assists,Yellow cards,Red cards,SpG,PS%,Aearials Won,MotM,Rating,Tackles,Interceptions,Fouls commited,Clearances,Dribbled past,Blocks,Key Passes,Dribbles,Fouled,Dispossessed,Bad control,Crosses,Long balls,Through balls,Games,player_url,player_positions,wage_eur,age,height_cm,weight_kg,club_name,league_name,league_level,club_position,club_contract_valid_until,nationality_id,nationality_name,preferred_foot,release_clause_eur,player_face_url,club_logo_url,club_flag_url,nation_flag_url,pretty_name,date_of_birth,position,market_value_in_eur,highest_market_value_in_gbp,missed_games,wiki_views,insta_followers,Play_in_CL,prediction,error,club_name_clean_accents
0,0,3333,3737,2,7,15,0,0.51,84.71,0.77,0,6.58,1.15,0.59,0.85,0.58,0.84,0.11,0.65,0.32,0.52,0.39,0.55,0.41,1.55,0.04,41.5,https://sofifa.com/player/138412/james-milner/220002,"CM, LB, RB",76000,35,175,70,Liverpool,English Premier League,1,SUB,2022,14,England,Right,13000000,https://cdn.sofifa.net/players/138/412/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png,James Milner,04/01/1986,Midfield,2142092.11,18900000,13,1001885,3393244,1,2083779.603,-0.027222222,Liverpool
1,1,3455,4433,33,12,8,1,3.58,71.98,3.92,15,7.34,0.21,0.24,1.38,1.03,0.35,0.15,1.25,0.53,0.9,0.66,1.53,0.13,0.65,0.08,49.3,https://sofifa.com/player/41236/zlatan-ibrahimovic/220002,ST,51000,39,195,95,AC Milan,Italian Serie A,1,SUB,2022,46,Sweden,Right,24700000,https://cdn.sofifa.net/players/041/236/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/se.png,Zlatan Ibrahimovic,03/10/1981,Attack,4284184.22,41400000,38,5191266,52560914,1,4509103.891,0.0525,AC Milan
2,2,4188,4156,9,6,15,0,1.6,78.74,0.1,3,6.72,0.56,0.23,0.7,0.14,0.54,0,1.63,1.3,1.61,0.65,1.33,1.59,0.85,0.04,46.1,https://sofifa.com/player/20775/ricardo-andrade-quaresma-bernardo/220002,"RW, LW",10000,37,175,68,Vitória de Guimarães,Portuguese Liga ZON SAGRES,1,RW,2022,38,Portugal,Right,7100000,https://cdn.sofifa.net/players/020/775/22_120.png,https://cdn.sofifa.net/teams/1887/60.png,https://cdn.sofifa.net/flags/pt.png,https://cdn.sofifa.net/flags/pt.png,Ricardo Quaresma,26/09/1983,Attack,321313.8165,22500000,4,394162,3180645,1,374866.1192,0.166666667,Vitória de Guimarães
3,3,4311,2160,0,0,0,0,0,74.54,0.1,1,6.73,0,0.14,0,0.43,0,0,0.05,0.04,0.05,0,0.05,0,5.78,0,24,https://sofifa.com/player/2147/maarten-stekelenburg/220002,GK,8000,38,197,92,Ajax,Holland Eredivisie,1,GK,2022,34,Netherlands,Right,1200000,https://cdn.sofifa.net/players/002/147/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,https://cdn.sofifa.net/flags/nl.png,Maarten Stekelenburg,22/09/1982,Goalkeeper,589075.3302,9900000,37,373412,100043,0,598714.7447,0.016363636,Ajax
4,4,7093,1983,0,0,8,0,0.33,88.15,0.81,0,6.45,0.95,0.92,0.82,0.76,0.98,0.26,0.51,0.23,1.31,0.14,0.57,0,2.75,0.02,22,https://sofifa.com/player/149185/francesco-magnanelli/220002,CDM,19000,36,181,79,U.S. Sassuolo Calcio,Italian Serie A,1,RES,2022,27,Italy,Right,1900000,https://cdn.sofifa.net/players/149/185/22_120.png,https://cdn.sofifa.net/teams/111974/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png,Francesco Magnanelli,12/11/1984,Midfield,428418.422,2700000,11,20965,0,0,421194.8114,-0.016861111,U.S. Sassuolo Calcio
5,5,7161,6011,22,17,4,0,1.3,81.87,0.23,5,7.01,1.27,0.68,0.69,0.36,1.69,0.07,2.05,0.66,0.75,0.72,1.28,1.67,2,0.03,66.8,https://sofifa.com/player/210324/jonas-hofmann/220002,"CM, RM, LM",35000,28,176,73,Borussia Mönchengladbach,German 1. Bundesliga,1,RM,2023,21,Germany,Right,29800000,https://cdn.sofifa.net/players/210/324/22_120.png,https://cdn.sofifa.net/teams/23/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png,Jonas Hofmann,14/07/1992,Attack,17136736.88,14400000,17,97445,126129,1,16611924.31,-0.030625,Borussia Mönchengladbach
6,6,7825,5761,0,1,6,1,0,77.51,0.27,1,6.45,0,0.03,0.05,0.62,0.07,0,0.04,0,0.09,0,0.02,0,7.18,0,64,https://sofifa.com/player/24630/jose-manuel-reina-paez/220002,GK,27000,38,188,92,Lazio,Italian Serie A,1,GK,2022,45,Spain,Right,2700000,https://cdn.sofifa.net/players/024/630/22_120.png,https://cdn.sofifa.net/teams/46/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/es.png,Pepe Reina,31/08/1982,Goalkeeper,856836.844,19800000,0,366380,448286,1,916815.4231,0.07,Lazio
7,7,8198,10734,96,14,16,0,4.98,82.99,1.11,30,7.52,0.26,0.17,0.64,0.67,0.37,0.06,1.2,1.49,1.31,1.01,1.84,0.19,0.63,0.04,119.1,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/220002,"ST, LW",270000,36,187,83,Manchester United,English Premier League,1,ST,2023,38,Portugal,Right,83300000,https://cdn.sofifa.net/players/020/801/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/pt.png,Cristiano Ronaldo,05/02/1985,Attack,37486611.92,108000000,8,19982892,408251703,1,47136736.88,0.257428571,Manchester United
8,8,8246,810,0,0,1,0,0,77.58,0.54,0,6.96,0,0,0,1.01,0,0,0.13,0,0.13,0,0.1,0,5.44,0,9,https://sofifa.com/player/156437/philipp-pentke/220002,GK,13000,36,191,84,TSG Hoffenheim,German 1. Bundesliga,1,SUB,2022,21,Germany,Right,595000,https://cdn.sofifa.net/players/156/437/22_120.png,https://cdn.sofifa.net/teams/10029/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png,Philipp Pentke,01/05/1985,Goalkeeper,321313.8165,360000,1,4289,0,0,333916.4584,0.039222222,TSG Hoffenheim
9,9,9335,1898,8,2,2,0,0.9,77.56,1.16,0,6.46,0.3,0.16,0.6,0.59,0.32,0.05,0.3,0.22,1.04,0.68,0.91,0.04,0.34,0.08,21.1,https://sofifa.com/player/183518/rui-pedro-da-rocha-fonte/220002,ST,5000,31,181,73,Estoril Praia,Portuguese Liga ZON SAGRES,1,SUB,2022,38,Portugal,Right,2700000,https://cdn.sofifa.net/players/183/518/22_120.png,https://cdn.sofifa.net/teams/10020/60.png,https://cdn.sofifa.net/flags/pt.png,https://cdn.sofifa.net/flags/pt.png,Rui Fonte,23/04/1990,Attack,1606569.082,5400000,43,39985,50776,0,1701892.181,0.059333333,Estoril Praia
